iter	best_pop	best_loss	best_acc	avg_fitness
1	2	2.301	0.1172	0.0914
2	9	2.305	0.1104	0.0977
3	11	2.3018	0.127	0.1013
4	15	2.2994	0.1276	0.1015
5	11	2.3641	0.147	0.1056
6	2	2.302	0.1206	0.0971
7	17	2.3009	0.1254	0.1036
8	4	2.3023	0.1224	0.0998
9	9	2.3001	0.1314	0.1012
10	7	2.3015	0.155	0.1052
11	19	2.3041	0.1144	0.0996
12	4	2.302	0.135	0.1036
13	3	2.3015	0.1356	0.0975
14	19	2.4375	0.1192	0.0993
15	3	2.3019	0.1232	0.0943
16	8	2.2998	0.1248	0.1045
17	14	2.3002	0.1254	0.0956
18	18	2.4906	0.1178	0.0964
19	15	2.3031	0.1416	0.096
20	10	2.3031	0.1144	0.1002
21	9	2.4679	0.1164	0.1029
22	16	2.3019	0.131	0.1056
23	18	2.325	0.129	0.0992
24	11	2.3047	0.1354	0.0993
25	2	2.3021	0.1246	0.101
26	5	2.3018	0.1148	0.1003
27	3	2.3051	0.109	0.0992
28	12	2.3166	0.1308	0.1022
29	6	2.3035	0.1216	0.1023
30	9	2.3036	0.115	0.0952
31	0	2.3026	0.137	0.0965
32	6	2.3066	0.1126	0.0991
33	4	2.3022	0.127	0.1029
34	3	2.3012	0.133	0.103
35	18	2.3034	0.1244	0.1007
36	6	2.3085	0.1252	0.102
37	3	2.7015	0.1158	0.0985
38	11	2.3036	0.1138	0.0959
39	17	2.3011	0.126	0.0999
40	1	2.3019	0.162	0.1026
41	16	2.3023	0.1194	0.1027
42	13	2.3008	0.121	0.0988
43	11	2.3045	0.1172	0.0951
44	9	2.3157	0.1284	0.0996
45	4	2.3023	0.1408	0.0999
46	8	2.3722	0.134	0.1045
47	17	2.3016	0.1238	0.0998
48	10	2.3024	0.1306	0.0997
49	12	2.301	0.1334	0.1014
50	9	2.3028	0.1144	0.0987
51	7	2.3037	0.119	0.0966
52	10	2.3038	0.1224	0.1015
53	1	2.3025	0.1242	0.0984
54	5	2.3038	0.12	0.0968
55	14	2.2957	0.1178	0.0983
56	14	2.303	0.1252	0.1031
57	19	3.9948	0.1188	0.1011
58	12	2.3018	0.1204	0.0974
59	19	2.3028	0.1132	0.0944
60	9	2.3029	0.1274	0.0989
61	9	2.3035	0.1422	0.1017
